ID,Date,Element,Data_Value
RSM00020891,2012-11-09,TMIN,-252
RSM00020891,2006-10-01,TMIN,-78
RSM00020891,2006-10-01,TMAX,-5
RSM00020891,2009-03-01,TMAX,-250
RSM00020891,2009-03-01,TMIN,-333
RSM00020891,2013-03-01,TMAX,-225
RSM00020891,2013-03-01,TMIN,-302
RSM00020891,2012-09-06,TMIN,44
RSM00020891,2010-05-08,TMIN,-155
RSM00020891,2012-09-06,TMAX,175
RSM00020891,2007-06-14,TMIN,30
RSM00020891,2007-06-14,TMAX,100
RSM00020891,2010-01-06,TMIN,-140
RSM00020891,2012-05-08,TMIN,-155
RSM00020891,2012-05-08,TMAX,-68
RSM00020891,2010-01-06,TMAX,-107
RSM00020891,2011-04-07,TMAX,-191
RSM00020891,2013-10-26,TMIN,-196
RSM00020891,2013-10-26,TMAX,-110
RSM00020891,2010-02-01,TMAX,-262
RSM00020891,2010-02-01,TMIN,-384
RSM00020891,2011-01-26,TMAX,-246
RSM00020891,2007-05-06,TMAX,-75
RSM00020891,2011-01-26,TMIN,-326
RSM00020891,2011-04-07,TMIN,-273
RSM00020891,2012-02-23,TMAX,-357
RSM00020891,2012-02-23,TMIN,-396
RSM00020891,2013-06-14,TMAX,225
RSM00020891,2007-02-11,TMIN,-492
RSM00020891,2007-04-24,TMIN,-186
RSM00020891,2007-04-24,TMAX,-41
RSM00020891,2005-08-27,TMIN,-5
RSM00020891,2005-08-27,TMAX,86
RSM00020891,2010-07-18,TMAX,258
RSM00020891,2011-05-07,TMAX,-51
RSM00020891,2015-12-30,TMIN,-345
RSM00020891,2011-05-07,TMIN,-123
RSM00020891,2010-07-18,TMIN,136
RSM00020891,2014-11-01,TMIN,-205
RSM00020891,2015-12-23,TMAX,-147
RSM00020891,2015-12-23,TMIN,-334
RSM00020891,2014-07-22,TMIN,86
RSM00020891,2014-07-22,TMAX,152
RSM00020891,2014-05-11,TMIN,-99
RSM00020891,2014-05-11,TMAX,-44
RSM00020891,2006-02-02,TMAX,-256
RSM00020891,2006-02-02,TMIN,-280
RSM00020891,2013-06-14,TMIN,129
RSM00020891,2009-10-31,TMAX,-205
RSM00020891,2009-10-31,TMIN,-265
RSM00020891,2011-05-28,TMIN,0
RSM00020891,2013-08-12,TMIN,57
RSM00020891,2011-05-28,TMAX,100
RSM00020891,2011-01-03,TMAX,-112
RSM00020891,2010-09-02,TMIN,11
RSM00020891,2010-09-02,TMAX,61
RSM00020891,2011-01-03,TMIN,-154
RSM00020891,2011-01-30,TMIN,-376
RSM00020891,2015-08-23,TMAX,111
RSM00020891,2011-01-30,TMAX,-298
RSM00020891,2006-02-03,TMIN,-300
RSM00020891,2009-12-04,TMIN,-314
RSM00020891,2009-12-04,TMAX,-211
RSM00020891,2010-04-10,TMIN,-171
RSM00020891,2006-05-30,TMAX,6
RSM00020891,2012-09-09,TMAX,160
RSM00020891,2006-05-30,TMIN,-21
RSM00020891,2006-02-04,TMIN,-306
RSM00020891,2006-02-04,TMAX,-206
RSM00020891,2005-10-07,TMIN,-85
RSM00020891,2005-10-07,TMAX,-14
RSM00020891,2011-01-16,TMAX,-248
RSM00020891,2006-11-06,TMAX,-293
RSM00020891,2006-11-06,TMIN,-331
RSM00020891,2011-01-16,TMIN,-379
RSM00020891,2006-10-02,TMIN,-62
RSM00020891,2006-10-02,TMAX,2
RSM00020891,2012-09-09,TMIN,52
RSM00020891,2010-12-18,TMAX,-183
RSM00020891,2013-08-11,TMAX,243
RSM00020891,2005-05-16,TMAX,24
RSM00020891,2005-05-16,TMIN,0
RSM00020891,2013-10-28,TMIN,-167
RSM00020891,2015-10-27,TMAX,3
RSM00020891,2015-10-27,TMIN,-52
RSM00020891,2013-10-28,TMAX,-92
RSM00020891,2013-08-11,TMIN,110
RSM00020891,2008-11-24,TMAX,-220
RSM00020891,2008-11-24,TMIN,-252
RSM00020891,2005-08-10,TMAX,70
RSM00020891,2005-08-10,TMIN,36
RSM00020891,2008-04-24,TMAX,-29
RSM00020891,2008-04-24,TMIN,-97
RSM00020891,2010-12-18,TMIN,-234
RSM00020891,2010-04-10,TMAX,-111
RSM00020891,2008-12-06,TMIN,-419
RSM00020891,2008-12-06,TMAX,-350
RSM00020891,2012-11-07,TMAX,-105
RSM00020891,2006-03-17,TMIN,-369
RSM00020891,2012-11-07,TMIN,-161
RSM00020891,2011-02-11,TMAX,-306
RSM00020891,2011-02-11,TMIN,-385
RSM00020891,2005-01-01,TMIN,-333
RSM00020891,2005-01-01,TMAX,-288
RSM00020891,2010-07-30,TMAX,101
RSM00020891,2011-02-03,TMAX,-354
RSM00020891,2011-02-03,TMIN,-377
RSM00020891,2010-07-30,TMIN,65
RSM00020891,2013-06-17,TMIN,70
RSM00020891,2013-06-17,TMAX,190
RSM00020891,2008-06-25,TMIN,122
RSM00020891,2011-10-05,TMIN,-49
RSM00020891,2011-10-05,TMAX,-14
RSM00020891,2008-06-25,TMAX,239
RSM00020891,2006-08-26,TMIN,4
RSM00020891,2006-08-26,TMAX,48
RSM00020891,2015-05-10,TMAX,17
RSM00020891,2008-11-21,TMAX,-316
RSM00020891,2008-11-21,TMIN,-352
RSM00020891,2015-03-23,TMAX,-259
RSM00020891,2010-10-11,TMIN,-182
RSM00020891,2013-01-11,TMAX,-163
RSM00020891,2008-09-17,TMAX,29
RSM00020891,2008-09-17,TMIN,5
RSM00020891,2009-08-28,TMAX,161
RSM00020891,2009-08-28,TMIN,108
RSM00020891,2014-01-11,TMIN,-416
RSM00020891,2014-01-11,TMAX,-296
RSM00020891,2013-01-11,TMIN,-251
RSM00020891,2010-10-11,TMAX,-148
RSM00020891,2013-06-16,TMIN,14
RSM00020891,2013-06-16,TMAX,190
RSM00020891,2012-09-08,TMIN,55
RSM00020891,2012-09-08,TMAX,177
RSM00020891,2007-10-05,TMAX,-1
RSM00020891,2009-08-13,TMAX,137
RSM00020891,2009-08-13,TMIN,40
RSM00020891,2015-01-02,TMAX,-388
RSM00020891,2006-07-30,TMIN,155
RSM00020891,2006-07-30,TMAX,259
RSM00020891,2009-11-01,TMIN,-244
RSM00020891,2009-11-01,TMAX,-214
RSM00020891,2007-12-23,TMAX,-225
RSM00020891,2007-12-23,TMIN,-383
RSM00020891,2014-12-02,TMIN,-347
RSM00020891,2014-12-02,TMAX,-224
RSM00020891,2010-06-05,TMAX,98
RSM00020891,2010-06-05,TMIN,-2
RSM00020891,2014-05-12,TMIN,-79
RSM00020891,2014-01-13,TMIN,-451
RSM00020891,2015-06-12,TMAX,264
RSM00020891,2007-07-21,TMIN,90
RSM00020891,2007-07-21,TMAX,178
RSM00020891,2011-04-29,TMAX,-7
RSM00020891,2008-12-20,TMIN,-267
RSM00020891,2007-10-05,TMIN,-23
RSM00020891,2008-12-20,TMAX,-152
RSM00020891,2005-11-10,TMAX,-177
RSM00020891,2005-11-10,TMIN,-257
RSM00020891,2009-04-05,TMIN,-215
RSM00020891,2011-07-24,TMIN,95
RSM00020891,2011-07-24,TMAX,133
RSM00020891,2014-05-12,TMAX,-9
RSM00020891,2011-04-29,TMIN,-90
RSM00020891,2015-05-05,TMIN,-153
RSM00020891,2009-05-12,TMAX,-45
RSM00020891,2014-08-18,TMIN,37
RSM00020891,2010-01-31,TMAX,-329
RSM00020891,2010-01-31,TMIN,-384
RSM00020891,2007-05-26,TMAX,-31
RSM00020891,2007-05-26,TMIN,-71
RSM00020891,2011-11-28,TMAX,-244
RSM00020891,2011-11-28,TMIN,-265
RSM00020891,2013-02-27,TMAX,-316
RSM00020891,2013-02-27,TMIN,-376
RSM00020891,2010-03-20,TMIN,-332
RSM00020891,2010-03-20,TMAX,-269
RSM00020891,2007-02-03,TMIN,-403
RSM00020891,2007-02-03,TMAX,-370
RSM00020891,2009-08-02,TMIN,57
RSM00020891,2009-08-02,TMAX,101
RSM00020891,2015-05-15,TMAX,67
RSM00020891,2005-03-31,TMAX,-185
RSM00020891,2008-12-04,TMIN,-372
RSM00020891,2011-03-29,TMAX,-71
RSM00020891,2009-05-12,TMIN,-82
RSM00020891,2014-08-18,TMAX,151
RSM00020891,2007-03-04,TMIN,-274
RSM00020891,2007-03-04,TMAX,-225
RSM00020891,2007-10-21,TMAX,-152
RSM00020891,2011-03-29,TMIN,-140
RSM00020891,2007-10-21,TMIN,-212
RSM00020891,2005-07-24,TMAX,170
RSM00020891,2005-07-24,TMIN,107
RSM00020891,2010-07-25,TMIN,74
RSM00020891,2015-02-11,TMAX,-189
RSM00020891,2005-03-31,TMIN,-259
RSM00020891,2008-12-04,TMAX,-264
RSM00020891,2010-07-25,TMAX,124
RSM00020891,2015-05-05,TMAX,26
RSM00020891,2007-05-06,TMIN,-120
RSM00020891,2010-03-19,TMIN,-304
RSM00020891,2010-04-11,TMIN,-169
RSM00020891,2007-05-17,TMIN,-123
RSM00020891,2009-09-13,TMAX,79
RSM00020891,2009-09-13,TMIN,46
RSM00020891,2007-05-17,TMAX,-70
RSM00020891,2008-05-21,TMIN,-39
RSM00020891,2008-05-21,TMAX,24
RSM00020891,2013-08-14,TMAX,155
RSM00020891,2012-01-31,TMAX,-39
RSM00020891,2012-01-31,TMIN,-217
RSM00020891,2010-12-19,TMAX,-213
RSM00020891,2010-12-19,TMIN,-365
RSM00020891,2013-08-14,TMIN,3
RSM00020891,2009-02-21,TMAX,-205
RSM00020891,2010-04-11,TMAX,-71
RSM00020891,2013-10-24,TMIN,-150
RSM00020891,2014-05-09,TMAX,17
RSM00020891,2009-02-21,TMIN,-251
RSM00020891,2005-02-26,TMIN,-320
RSM00020891,2005-02-26,TMAX,-274
RSM00020891,2011-09-03,TMAX,73
RSM00020891,2011-09-03,TMIN,10
RSM00020891,2010-03-18,TMIN,-321
RSM00020891,2010-03-18,TMAX,-243
RSM00020891,2009-03-31,TMIN,-200
RSM00020891,2006-09-30,TMIN,-13
RSM00020891,2009-03-31,TMAX,-97
RSM00020891,2006-09-30,TMAX,18
RSM00020891,2012-09-03,TMIN,14
RSM00020891,2012-09-03,TMAX,104
RSM00020891,2013-10-24,TMAX,-87
RSM00020891,2015-07-26,TMAX,154
RSM00020891,2015-07-26,TMIN,79
RSM00020891,2010-06-07,TMIN,18
RSM00020891,2005-12-01,TMIN,-334
RSM00020891,2006-11-09,TMIN,-158
RSM00020891,2010-11-05,TMAX,-101
RSM00020891,2009-02-16,TMIN,-373
RSM00020891,2009-02-16,TMAX,-306
RSM00020891,2008-07-15,TMAX,203
RSM00020891,2008-07-15,TMIN,86
RSM00020891,2010-11-05,TMIN,-229
RSM00020891,2011-12-29,TMAX,-229
RSM00020891,2011-12-29,TMIN,-273
RSM00020891,2011-08-15,TMIN,78
RSM00020891,2008-06-24,TMIN,36
RSM00020891,2008-06-24,TMAX,156
RSM00020891,2011-08-15,TMAX,198
RSM00020891,2013-03-03,TMAX,-240
RSM00020891,2013-03-03,TMIN,-268
RSM00020891,2009-05-07,TMAX,-50
RSM00020891,2010-06-07,TMAX,167
RSM00020891,2006-01-31,TMAX,-343
RSM00020891,2006-01-31,TMIN,-410
RSM00020891,2007-07-22,TMIN,90
RSM00020891,2007-07-22,TMAX,187
RSM00020891,2006-07-28,TMAX,197
RSM00020891,2011-01-08,TMAX,-330
RSM00020891,2006-07-28,TMIN,136
RSM00020891,2010-02-02,TMIN,-364
RSM00020891,2010-02-02,TMAX,-315
RSM00020891,2015-03-16,TMIN,-297
RSM00020891,2012-03-13,TMIN,-269
RSM00020891,2012-03-13,TMAX,-210
RSM00020891,2009-05-07,TMIN,-159
RSM00020891,2014-08-20,TMAX,114
RSM00020891,2011-01-08,TMIN,-374
RSM00020891,2007-02-21,TMIN,-445
RSM00020891,2013-06-11,TMIN,9
RSM00020891,2011-11-30,TMIN,-262
RSM00020891,2012-06-21,TMAX,143
RSM00020891,2012-06-21,TMIN,75
RSM00020891,2015-01-05,TMIN,-455
RSM00020891,2015-02-19,TMAX,-298
RSM00020891,2015-02-19,TMIN,-394
RSM00020891,2014-10-06,TMAX,-46
RSM00020891,2008-04-11,TMIN,-180
RSM00020891,2008-04-11,TMAX,-105
RSM00020891,2007-03-05,TMAX,-191
RSM00020891,2007-03-05,TMIN,-253
RSM00020891,2005-07-02,TMAX,197
RSM00020891,2005-07-02,TMIN,125
RSM00020891,2007-07-07,TMIN,135
RSM00020891,2007-07-07,TMAX,218
RSM00020891,2007-10-16,TMIN,-123
RSM00020891,2007-10-16,TMAX,-52
RSM00020891,2005-11-09,TMAX,-243
RSM00020891,2005-11-09,TMIN,-325
RSM00020891,2010-10-10,TMAX,-89
RSM00020891,2010-10-10,TMIN,-234
RSM00020891,2007-05-27,TMIN,-79
RSM00020891,2007-05-27,TMAX,41
RSM00020891,2008-02-05,TMAX,-83
RSM00020891,2012-09-02,TMAX,113
RSM00020891,2014-07-21,TMAX,210
RSM00020891,2014-11-02,TMAX,-201
RSM00020891,2013-01-08,TMAX,-317
RSM00020891,2013-01-08,TMIN,-387
RSM00020891,2006-11-10,TMIN,-223
RSM00020891,2006-11-10,TMAX,-136
RSM00020891,2012-09-02,TMIN,-15
RSM00020891,2005-12-01,TMAX,-274
RSM00020891,2011-11-30,TMAX,-199
RSM00020891,2008-02-05,TMIN,-308
RSM00020891,2013-06-11,TMAX,156
RSM00020891,2007-02-21,TMAX,-343
RSM00020891,2006-06-02,TMAX,60
RSM00020891,2006-06-02,TMIN,7
RSM00020891,2009-08-01,TMIN,35
RSM00020891,2012-02-22,TMIN,-379
RSM00020891,2012-02-22,TMAX,-355
RSM00020891,2009-08-01,TMAX,92
RSM00020891,2009-06-05,TMIN,12
RSM00020891,2009-06-05,TMAX,102
RSM00020891,2011-07-25,TMAX,120
RSM00020891,2011-07-25,TMIN,94
RSM00020891,2015-09-11,TMAX,93
RSM00020891,2012-11-11,TMAX,-139
RSM00020891,2012-11-11,TMIN,-206
RSM00020891,2007-10-29,TMAX,-93
RSM00020891,2007-10-29,TMIN,-115
RSM00020891,2008-03-08,TMAX,-276
RSM00020891,2008-03-08,TMIN,-314
RSM00020891,2013-03-04,TMIN,-315
RSM00020891,2013-03-04,TMAX,-240
RSM00020891,2005-09-10,TMIN,53
RSM00020891,2005-04-15,TMIN,-103
RSM00020891,2015-06-30,TMAX,124
RSM00020891,2005-04-15,TMAX,21
RSM00020891,2009-10-29,TMAX,-150
RSM00020891,2010-05-07,TMAX,-55
RSM00020891,2009-10-29,TMIN,-199
RSM00020891,2010-05-07,TMIN,-145
RSM00020891,2005-08-11,TMIN,33
RSM00020891,2005-08-11,TMAX,84
RSM00020891,2005-09-10,TMAX,140
RSM00020891,2015-09-22,TMAX,50
RSM00020891,2006-11-09,TMAX,-70
RSM00020891,2014-06-18,TMIN,150
RSM00020891,2013-06-13,TMAX,240
RSM00020891,2008-09-30,TMIN,-33
RSM00020891,2012-09-05,TMIN,-2
RSM00020891,2008-09-30,TMAX,45
RSM00020891,2007-12-08,TMIN,-343
RSM00020891,2012-09-05,TMAX,144
RSM00020891,2007-12-08,TMAX,-262
RSM00020891,2006-06-01,TMAX,60
RSM00020891,2006-06-01,TMIN,-28
RSM00020891,2014-10-07,TMIN,-145
RSM00020891,2014-10-07,TMAX,-94
RSM00020891,2013-03-02,TMAX,-161
RSM00020891,2013-03-02,TMIN,-295
RSM00020891,2005-07-23,TMIN,66
RSM00020891,2013-06-13,TMIN,61
RSM00020891,2005-07-23,TMAX,172
RSM00020891,2005-06-20,TMAX,159
RSM00020891,2005-10-06,TMIN,-83
RSM00020891,2005-10-06,TMAX,-31
RSM00020891,2013-08-13,TMAX,95
RSM00020891,2013-08-13,TMIN,22
RSM00020891,2010-09-25,TMAX,3
RSM00020891,2010-10-20,TMAX,-43
RSM00020891,2010-09-25,TMIN,-10
RSM00020891,2010-10-20,TMIN,-74
RSM00020891,2015-04-10,TMAX,-115
RSM00020891,2015-04-10,TMIN,-280
RSM00020891,2009-07-12,TMAX,282
RSM00020891,2008-01-05,TMIN,-365
RSM00020891,2008-01-05,TMAX,-255
RSM00020891,2005-06-20,TMIN,36
RSM00020891,2010-08-17,TMIN,90
RSM00020891,2010-08-17,TMAX,206
RSM00020891,2014-01-16,TMIN,-365
RSM00020891,2010-03-19,TMAX,-214
RSM00020891,2008-10-08,TMAX,-26
RSM00020891,2008-10-08,TMIN,-69
RSM00020891,2015-12-08,TMIN,-340
RSM00020891,2010-06-06,TMAX,88
RSM00020891,2010-06-06,TMIN,20
RSM00020891,2006-07-29,TMIN,134
RSM00020891,2006-07-29,TMAX,259
RSM00020891,2005-10-22,TMAX,-218
RSM00020891,2005-10-22,TMIN,-275
RSM00020891,2009-06-19,TMAX,127
RSM00020891,2009-06-19,TMIN,44
RSM00020891,2011-10-04,TMIN,-15
RSM00020891,2014-08-19,TMAX,175
RSM00020891,2014-08-19,TMIN,73
RSM00020891,2011-10-04,TMAX,9
RSM00020891,2006-11-08,TMAX,-144
RSM00020891,2014-01-16,TMAX,-272
RSM00020891,2009-05-04,TMAX,-39
RSM00020891,2012-04-13,TMIN,-188
RSM00020891,2012-04-13,TMAX,-136
RSM00020891,2009-05-04,TMIN,-109
RSM00020891,2011-11-08,TMAX,-54
RSM00020891,2005-04-07,TMIN,-219
RSM00020891,2011-11-08,TMIN,-136
RSM00020891,2015-07-14,TMAX,207
RSM00020891,2007-09-20,TMIN,-34
RSM00020891,2007-09-20,TMAX,41
RSM00020891,2011-11-29,TMIN,-294
RSM00020891,2011-11-29,TMAX,-259
RSM00020891,2006-11-08,TMIN,-289
RSM00020891,2015-07-14,TMIN,99
RSM00020891,2009-07-12,TMIN,202
RSM00020891,2005-04-07,TMAX,-175
RSM00020891,2014-12-01,TMAX,-293
RSM00020891,2012-06-04,TMAX,203
RSM00020891,2006-03-19,TMAX,-262
RSM00020891,2006-03-19,TMIN,-363
RSM00020891,2008-06-06,TMIN,-17
RSM00020891,2008-08-11,TMIN,98
RSM00020891,2008-08-11,TMAX,243
RSM00020891,2009-12-05,TMAX,-314
RSM00020891,2009-10-30,TMIN,-266
RSM00020891,2009-10-30,TMAX,-152
RSM00020891,2009-12-05,TMIN,-393
RSM00020891,2008-04-25,TMAX,6
RSM00020891,2008-04-25,TMIN,-66
RSM00020891,2010-11-19,TMIN,-269
RSM00020891,2010-11-19,TMAX,-228
RSM00020891,2015-01-04,TMIN,-482
RSM00020891,2011-05-17,TMIN,-116
RSM00020891,2013-06-12,TMIN,35
RSM00020891,2015-09-23,TMAX,-26
RSM00020891,2012-09-04,TMAX,93
RSM00020891,2012-09-04,TMIN,15
RSM00020891,2014-06-18,TMAX,329
RSM00020891,2015-02-26,TMIN,-406
RSM00020891,2006-04-28,TMAX,-128
RSM00020891,2015-11-21,TMIN,-165
RSM00020891,2006-04-28,TMIN,-247
RSM00020891,2007-08-10,TMIN,75
RSM00020891,2015-11-11,TMIN,-245
RSM00020891,2007-01-19,TMIN,-274
RSM00020891,2007-01-19,TMAX,-238
RSM00020891,2011-05-17,TMAX,-25
RSM00020891,2013-06-12,TMAX,153
RSM00020891,2007-08-10,TMAX,190
RSM00020891,2015-02-26,TMAX,-355
RSM00020891,2015-11-21,TMAX,-133
RSM00020891,2013-10-25,TMAX,-143
RSM00020891,2015-05-19,TMAX,-58
RSM00020891,2006-08-27,TMAX,78
RSM00020891,2006-08-27,TMIN,41
RSM00020891,2012-11-10,TMAX,-129
RSM00020891,2014-05-10,TMIN,-118
RSM00020891,2014-05-10,TMAX,-79
RSM00020891,2012-11-10,TMIN,-267
RSM00020891,2015-10-14,TMAX,-90
RSM00020891,2015-10-14,TMIN,-151
RSM00020891,2007-09-05,TMIN,-18
RSM00020891,2007-09-05,TMAX,23
RSM00020891,2007-03-18,TMIN,-310
RSM00020891,2007-03-18,TMAX,-151
RSM00020891,2005-04-25,TMIN,-196
RSM00020891,2005-04-25,TMAX,-87
RSM00020891,2006-02-01,TMIN,-421
RSM00020891,2013-01-09,TMIN,-318
RSM00020891,2013-10-25,TMIN,-186
RSM00020891,2008-06-06,TMAX,1
RSM00020891,2014-01-17,TMAX,-347
RSM00020891,2011-06-30,TMAX,167
RSM00020891,2011-06-30,TMIN,106
RSM00020891,2011-10-20,TMIN,-205
RSM00020891,2012-06-04,TMIN,15
RSM00020891,2007-12-30,TMAX,-133
RSM00020891,2015-04-29,TMAX,-124
RSM00020891,2011-10-20,TMAX,-154
RSM00020891,2008-02-17,TMIN,-407
RSM00020891,2008-02-17,TMAX,-359
RSM00020891,2013-01-09,TMAX,-276
RSM00020891,2006-02-01,TMAX,-274
RSM00020891,2007-12-30,TMIN,-370
RSM00020891,2008-09-05,TMAX,151
RSM00020891,2005-03-26,TMAX,-261
RSM00020891,2013-02-26,TMIN,-341
RSM00020891,2009-06-18,TMIN,28
RSM00020891,2006-08-02,TMIN,115
RSM00020891,2006-08-02,TMAX,261
RSM00020891,2013-11-01,TMIN,-298
RSM00020891,2012-06-18,TMAX,99
RSM00020891,2012-06-18,TMIN,30
RSM00020891,2013-11-01,TMAX,-148
RSM00020891,2015-10-12,TMAX,-37
RSM00020891,2013-06-22,TMIN,23
RSM00020891,2013-06-22,TMAX,112
RSM00020891,2014-08-15,TMAX,113
RSM00020891,2006-05-27,TMAX,-15
RSM00020891,2006-05-27,TMIN,-89
RSM00020891,2011-11-26,TMAX,-262
RSM00020891,2009-06-18,TMAX,95
RSM00020891,2011-11-26,TMIN,-331
RSM00020891,2010-03-22,TMAX,-215
RSM00020891,2007-12-12,TMAX,-220
RSM00020891,2015-07-27,TMIN,80
RSM00020891,2015-07-27,TMAX,211
RSM00020891,2007-12-12,TMIN,-343
RSM00020891,2009-12-02,TMAX,-264
RSM00020891,2008-03-25,TMAX,-91
RSM00020891,2008-03-25,TMIN,-223
RSM00020891,2009-12-02,TMIN,-325
RSM00020891,2012-01-30,TMAX,-217
RSM00020891,2015-07-13,TMAX,131
RSM00020891,2012-01-30,TMIN,-337
RSM00020891,2015-07-13,TMIN,58
RSM00020891,2015-08-31,TMAX,38
RSM00020891,2010-03-22,TMIN,-317
RSM00020891,2006-02-08,TMAX,-224
RSM00020891,2006-02-08,TMIN,-345
RSM00020891,2012-09-15,TMAX,50
RSM00020891,2005-08-09,TMAX,98
RSM00020891,2005-08-09,TMIN,43
RSM00020891,2011-04-30,TMIN,-84
RSM00020891,2011-04-30,TMAX,-10
RSM00020891,2008-12-15,TMIN,-421
RSM00020891,2008-12-15,TMAX,-393
RSM00020891,2007-05-05,TMAX,-63
RSM00020891,2007-05-05,TMIN,-105
RSM00020891,2014-05-16,TMAX,2
RSM00020891,2008-06-26,TMIN,103
RSM00020891,2008-06-26,TMAX,234
RSM00020891,2005-08-28,TMIN,-12
RSM00020891,2005-08-28,TMAX,21
RSM00020891,2006-10-04,TMIN,-39
RSM00020891,2006-10-04,TMAX,-17
RSM00020891,2012-11-04,TMAX,-137
RSM00020891,2012-11-04,TMIN,-217
RSM00020891,2012-09-15,TMIN,-13
RSM00020891,2011-05-18,TMAX,-23
RSM00020891,2010-12-17,TMIN,-246
RSM00020891,2010-12-17,TMAX,-171
RSM00020891,2011-05-18,TMIN,-88
RSM00020891,2006-03-15,TMIN,-331
RSM00020891,2007-09-09,TMAX,116
RSM00020891,2006-03-15,TMAX,-255
RSM00020891,2005-05-31,TMIN,5
RSM00020891,2013-02-22,TMIN,-426
RSM00020891,2013-02-22,TMAX,-263
RSM00020891,2015-09-21,TMAX,26
RSM00020891,2012-04-11,TMIN,-288
RSM00020891,2012-04-11,TMAX,-130
RSM00020891,2005-05-31,TMAX,110
RSM00020891,2007-12-18,TMAX,-428
RSM00020891,2007-09-09,TMIN,32
RSM00020891,2010-01-08,TMAX,-243
RSM00020891,2006-11-03,TMAX,-278
RSM00020891,2006-11-03,TMIN,-339
RSM00020891,2015-11-05,TMIN,-277
RSM00020891,2007-03-03,TMAX,-268
RSM00020891,2007-03-03,TMIN,-425
RSM00020891,2014-12-30,TMAX,-305
RSM00020891,2014-01-05,TMIN,-429
RSM00020891,2013-01-13,TMIN,-351
RSM00020891,2013-01-13,TMAX,-255
RSM00020891,2007-10-27,TMIN,-109
RSM00020891,2007-10-27,TMAX,-9
RSM00020891,2010-04-09,TMAX,-127
RSM00020891,2010-04-09,TMIN,-242
RSM00020891,2013-06-21,TMIN,79
RSM00020891,2006-05-01,TMAX,-52
RSM00020891,2013-06-21,TMAX,155
RSM00020891,2011-08-31,TMIN,-4
RSM00020891,2009-08-03,TMIN,60
RSM00020891,2009-08-03,TMAX,98
RSM00020891,2008-10-07,TMAX,-28
